Region_PK;Continente;Pais
AGO;África;Angola
ARG;América;Argentina
AUS;Oceanía;Australia
AUT;Europa;Austria
BEL;Europa;Bélgica
BRA;América;Brasil
CAN;América;Canadá
CHE;Europa;Suiza
CHL;América;Chile
CHN;Asia;China
CMR;África;Camerún
COL;América;Colombia
CRI;América;Costa Rica
CZE;Europa;República Checa
DEU;Europa;Alemania
DOM;América;República Dominicana
DZA;África;Argelia
ECU;América;Ecuador
EGY;África;Egipto
ESP;Europa;España
FIN;Europa;Finlandia
FRA;Europa;Francia
GBR;Europa;Reino Unido
GRC;Europa;Grecia
GTM;América;Guatemala
HUN;Europa;Hungría
IDN;Asia;Indonesia
IND;Asia;India
IRL;Europa;Irlanda
IRN;Asia;Irán
ISR;Asia;Israel
ITA;Europa;Italia
JPN;Asia;Japón
KEN;África;Kenia
KOR;Asia;República de Corea
MEX;América;México
MYS;Asia;Malasia
NGA;África;Nigeria
NOR;Europa;Noruega
PER;América;Perú
PHL;Asia;Filipinas
POL;Europa;Polonia
PRT;Europa;Portugal
RUS;Asia;Rusia
SDN;África;Sudán
SVK;Europa;Eslovaquia
SWE;Europa;Suecia
THA;Asia;Tailandia
TUR;Asia;Turquía
TZA;África;Tanzania
UKR;Europa;Ucrania
USA;América;Estados Unidos
VEN;América;Venezuela
YEM;Asia;Yemen
ZAF;África;Sudáfrica
NZL;Oceanía;Nueva Zelanda
